"UNC_Marchetti_diatom_cultures_all_LOBSTAHS_IDs_pos.csv, lipids identified in West Antarctic diatom isolates provided by A. Marchetti and C. Moreno, University of North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Identifications were made by J. Collins, james.r.collins@aya.yale.edu, using v1.1.1 of the LOBSTAHS lipidomics software package for R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in columns 14-22 of this speadsheet are raw chromatographic peak areas; the .xlsx file UNC_Marchetti_diatom_cultures_IP-DAG_pmol_totals.xlsx contains mass data for unoxidized IP-DAG obtained using authentic standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,match_ID,compound_name,elem_formula,LOBdbase_mz,peakgroup_mz,LOBdbase_ppm_match,peakgroup_rt,peakgroup_mzmin,peakgroup_mzmax,peakgroup_rtmin,peakgroup_rtmax,cultures,QC,Marchetti_diatom_culture_extract_A_act_1_QE002909,Marchetti_diatom_culture_extract_A_act_2_QE002910,Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911,Marchetti_diatom_culture_extract_F_cyl_1_QE002907,Marchetti_diatom_culture_extract_F_cyl_1_QE002908,Marchetti_diatom_culture_extract_Thalass_1_QE002905,Marchetti_diatom_culture_extract_Thalass_2_QE002906,QC_QE002903,QC_QE002915,xcms_peakgroup,CAMERA_pseudospectrum,LOBdbase_frag_ID,LOBdbase_exact_parent_neutral_mass,lipid_class,species,major_adduct,FA_total_no_C,FA_total_no_DB,degree_oxidation,C1,C1x,C2a,C2b,C3c,C3f,C3r,C4,C5,C6a,C6b,casecodes,iso_C3r.match_ID,iso_C3f.match_ID,iso_C3c.match_ID,ms2_conf,ms2_present,neg_mode.conf,rm.flag_auto
881,11,PC 48:3 +1O,C56H106N1O9P1,968.7677978,968.7700795,-2.355258325,1150.58212,968.7692302,968.775968,1148.086135,1151.932667,6,0,759724.8622,359595.2267,8241886.289,709578.8533,2144772.907,55202265.31,46348181.04,0,0,21055,2,40282,967.7605213,IP_DAG,PC,[M+H]+,48,3,1,1,0,0,0,1,1,0,0,0,0,0,C1; C3c; C3f,,"10, 11","10, 11, 12",NA,0,0,1
882,12,TAG 60:12,C63H98O6,968.7701672,968.7700795,0.090559744,1150.58212,968.7692302,968.775968,1148.086135,1151.932667,6,0,759724.8622,359595.2267,8241886.289,709578.8533,2144772.907,55202265.31,46348181.04,0,0,21055,2,69950,950.7363416,TAG,TAG,[M+NH4]+,60,12,0,1,0,0,0,1,0,0,0,0,0,0,C1; C3c,,,"10, 11, 12",NA,NA,0,1
101,13,TAG 68:14 +2O,C71H110O8,1108.853897,1108.854229,-0.299069507,1153.746549,1108.853137,1108.854782,1148.086135,1162.259099,4,0,106752.0519,79429.93713,14452834.78,284292.8595,815676.7413,68331461.61,52279382.45,0,0,25556,2,74654,1090.820071,TAG,TAG,[M+NH4]+,68,14,2,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
1104,14,SQDG 36:8,C45H70O12S1,852.4926245,852.492451,0.203529781,621.1079572,852.4921762,852.4926156,619.6990258,625.7161705,5,0,17390.78365,0,67562315.32,13549134.35,36556579.68,3394778.108,2743672.588,0,0,15054,3,46389,834.4587989,IP_DAG,SQDG,[M+NH4]+,36,8,0,0,0,1,0,0,0,1,0,0,0,0,C2a; C3r,"14, 3746",,,NA,0,1,NA
217,15,Fuco,C42H58O6,659.4306165,659.4306924,-0.115138984,597.0391386,659.4306097,659.4308384,596.1049566,597.7864341,7,0,137004004.1,129812945.2,1645945682,131663713.3,515214202.2,723838359.9,542289209.1,0,0,7123,3,78270,658.42334,pigment,Fuco,[M+H]+,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,C2a; C3r,"15, 185",,,NA,NA,1,1
253,16,PG 32:5,C38H65O10P1,730.4653609,730.4652994,0.084125451,611.3056983,730.4644433,730.4653164,610.4902387,614.6227396,3,0,0,17996.99922,11879701.81,0,0,22608729.18,19274548.45,0,0,9526,3,28839,712.4315353,IP_DAG,PG,[M+NH4]+,32,5,0,0,0,1,0,0,1,1,0,0,0,0,C2a; C3f; C3r,"16, 1011, 1218","16, 30, 31",,NA,0,1,NA
255,17,MGDG 32:8,C41H62O10,732.4681243,732.4682625,-0.188682054,617.5701396,732.4680671,732.4683666,616.5510391,618.1708598,7,0,234812265.6,221013889.4,164172198.4,7810306.796,19018571.93,19231119.21,11988215.83,0,0,9592,3,52780,714.4342987,IP_DAG,MGDG,[M+NH4]+,32,8,0,0,0,0,1,0,1,1,0,0,0,0,C2b; C3f; C3r,"17, 2886","17, 32, 33",,0,5,1,NA
273,18,PG 32:4 +1O,C38H67O11P1,748.4759256,748.4764865,-0.749367596,596.8857187,748.4764751,748.4767044,594.7629291,597.7864341,3,0,0,0,9785211.23,0,0,1665601.683,1656759.232,0,0,10199,3,28815,730.4421,IP_DAG,PG,[M+NH4]+,32,4,1,0,0,1,0,0,1,1,0,0,0,0,C2a; C3f; C3r,"18, 4701","18, 36, 37",,NA,0,1,NA
288,19,SQDG 30:4,C39H66O12S1,776.4613244,776.4612266,0.125892406,610.7286274,776.4610774,776.4618826,609.735035,611.3056983,7,0,12880111.22,13647657.64,672228915.3,8800849.325,23548743.41,7482351.879,4266630.984,0,0,11322,3,44679,758.4274988,IP_DAG,SQDG,[M+NH4]+,30,4,0,0,0,1,0,0,0,1,0,0,0,0,C2a; C3r,"19, 5012",,,0,3,1,NA
360,20,DGDG 32:7,C47H74O15,896.5365979,896.5367056,-0.120145486,616.6957163,896.5362829,896.539358,612.7915491,617.7162708,6,0,6721444.135,7239529.871,1454878.721,722987.4793,1890035.167,2572282.546,1985749.47,0,0,17459,3,8677,878.5027723,IP_DAG,DGDG,[M+NH4]+,32,7,0,0,0,1,0,0,0,1,0,0,0,0,C2a; C3r,"20, 3321",,,NA,0,1,NA
5,21,PE 33:5 +1O,C38H66N1O9P1,712.4547962,712.4545288,0.375306113,606.3326356,712.4545031,712.4545546,605.9308448,606.7344264,2,0,0,0,327263.5339,0,0,3935585.726,2440915.225,0,0,8857,3,22062,711.4475197,IP_DAG,PE,[M+H]+,33,5,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"21, 22",,NA,0,0,NA
51,22,PC 30:5 +1O,C38H66N1O9P1,712.4547962,712.4545288,0.375306113,606.3326356,712.4545031,712.4545546,605.9308448,606.7344264,2,0,0,0,327263.5339,0,0,3935585.726,2440915.225,0,0,8857,3,35957,711.4475197,IP_DAG,PC,[M+H]+,30,5,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"21, 22",,NA,0,0,1
6,23,DGCC 27:4 +4O,C37H63N1O12,714.4423034,714.443306,-1.403276023,610.8979685,714.443207,714.443405,610.4902387,611.3056983,2,0,0,0,142520.5323,0,0,1149385.135,746393.4687,0,0,8943,3,1046,713.435027,IP_DAG,DGCC,[M+H]+,27,4,4,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"23, 24",,NA,0,0,1
61,24,MGDG 28:5 +2O,C37H60O12,714.4423034,714.443306,-1.403276023,610.8979685,714.443207,714.443405,610.4902387,611.3056983,2,0,0,0,142520.5323,0,0,1149385.135,746393.4687,0,0,8943,3,51915,696.4084778,IP_DAG,MGDG,[M+NH4]+,28,5,2,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"23, 24",,NA,0,0,1
233,25,MGDG 26:6 +2O,C35H54O12,684.3953532,684.396387,-1.510499939,610.4902387,684.3961394,684.3965338,609.0119289,610.9387831,7,0,1554600.629,2286490.809,12015923.61,847210.3202,872101.563,1228900.408,1636810.486,0,0,7891,3,51590,666.3615276,IP_DAG,MGDG,[M+NH4]+,26,6,2,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,0,0,1
243,26,PE 31:3 +2O,C36H66N1O10P1,704.4497108,704.4502041,-0.700266806,597.7864341,704.4499255,704.4503409,596.9593279,599.1331684,3,0,0,0,6764501.711,0,0,2087135.254,2595204.991,0,0,8589,3,21592,703.4424344,IP_DAG,PE,[M+H]+,31,3,2,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"26, 4682","26, 27, 28",,NA,0,0,1
2431,27,PG 30:4,C36H63O10P1,704.4497108,704.4502041,-0.700266806,597.7864341,704.4499255,704.4503409,596.9593279,599.1331684,3,0,0,0,6764501.711,0,0,2087135.254,2595204.991,0,0,8589,3,28329,686.4158852,IP_DAG,PG,[M+NH4]+,30,4,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"27, 4683","26, 27, 28",,NA,0,1,NA
2432,28,PC 28:3 +2O,C36H66N1O10P1,704.4497108,704.4502041,-0.700266806,597.7864341,704.4499255,704.4503409,596.9593279,599.1331684,3,0,0,0,6764501.711,0,0,2087135.254,2595204.991,0,0,8589,3,35512,703.4424344,IP_DAG,PC,[M+H]+,28,3,2,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"28, 4684","26, 27, 28",,NA,0,0,1
252,29,SQDG 26:3,C35H60O12S1,722.4143741,722.4140606,0.433992363,597.6239774,722.4138692,722.414252,596.8857187,598.3622361,2,0,37633.91877,37420.88698,1200053.45,173588.5781,906093.9511,1480981.097,998614.7621,0,0,9234,3,43749,704.3805485,IP_DAG,SQDG,[M+NH4]+,26,3,0,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"29, 194, 4782",,,NA,0,0,1
2531,30,PE 33:4 +2O,C38H68N1O10P1,730.4653609,730.4652994,0.084125451,611.3056983,730.4644433,730.4653164,610.4902387,614.6227396,3,0,0,17996.99922,11879701.81,0,0,22608729.18,19274548.45,0,0,9526,3,22042,729.4580844,IP_DAG,PE,[M+H]+,33,4,2,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"30, 1010, 1247","16, 30, 31",,NA,0,0,1
2532,31,PC 30:4 +2O,C38H68N1O10P1,730.4653609,730.4652994,0.084125451,611.3056983,730.4644433,730.4653164,610.4902387,614.6227396,3,0,0,17996.99922,11879701.81,0,0,22608729.18,19274548.45,0,0,9526,3,35937,729.4580844,IP_DAG,PC,[M+H]+,30,4,2,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"31, 1012, 1248","16, 30, 31",,NA,0,0,1
2551,32,DGCC 31:7 +2O,C41H65N1O10,732.4681243,732.4682625,-0.188682054,617.5701396,732.4680671,732.4683666,616.5510391,618.1708598,7,0,234812265.6,221013889.4,164172198.4,7810306.796,19018571.93,19231119.21,11988215.83,0,0,9592,3,1886,731.4608478,IP_DAG,DGCC,[M+H]+,31,7,2,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"32, 2884","17, 32, 33",,0,5,0,1
2552,33,DGTS_DGTA 31:7 +3O,C41H65N1O10,732.4681243,732.4682625,-0.188682054,617.5701396,732.4680671,732.4683666,616.5510391,618.1708598,7,0,234812265.6,221013889.4,164172198.4,7810306.796,19018571.93,19231119.21,11988215.83,0,0,9592,3,15091,731.4608478,IP_DAG,DGTS_DGTA,[M+H]+,31,7,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"33, 2885","17, 32, 33",,0,5,0,1
270,34,DGCC 33:6 +1O,C43H71N1O9,746.5201599,746.518779,1.849761857,591.3412274,746.518754,746.5188041,590.2993792,592.3830757,2,0,42749.61278,26981.54435,1446745.714,13883.80163,396438.7937,1065519.809,610040.0405,0,0,10124,3,2281,745.5128834,IP_DAG,DGCC,[M+H]+,33,6,1,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"34, 3391","34, 35",,NA,0,0,NA
2701,35,DGTS_DGTA 33:6 +2O,C43H71N1O9,746.5201599,746.518779,1.849761857,591.3412274,746.518754,746.5188041,590.2993792,592.3830757,2,0,42749.61278,26981.54435,1446745.714,13883.80163,396438.7937,1065519.809,610040.0405,0,0,10124,3,15486,745.5128834,IP_DAG,DGTS_DGTA,[M+H]+,33,6,2,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"35, 3392","34, 35",,NA,0,0,NA
2731,36,PE 33:3 +3O,C38H70N1O11P1,748.4759256,748.4764865,-0.749367596,596.8857187,748.4764751,748.4767044,594.7629291,597.7864341,3,0,0,0,9785211.23,0,0,1665601.683,1656759.232,0,0,10199,3,22022,747.4686491,IP_DAG,PE,[M+H]+,33,3,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"36, 4700","18, 36, 37",,NA,0,0,1
2732,37,PC 30:3 +3O,C38H70N1O11P1,748.4759256,748.4764865,-0.749367596,596.8857187,748.4764751,748.4767044,594.7629291,597.7864341,3,0,0,0,9785211.23,0,0,1665601.683,1656759.232,0,0,10199,3,35917,747.4686491,IP_DAG,PC,[M+H]+,30,3,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"37, 4702","18, 36, 37",,NA,0,0,1
274,38,DGCC 31:6 +3O,C41H67N1O11,750.478689,750.4769292,2.344919149,598.6821221,750.4703494,750.491451,596.9593279,601.3737966,4,0,526185.1861,0,810781.0148,0,0,721359.8106,823473.4106,0,0,10274,3,1866,749.4714125,IP_DAG,DGCC,[M+H]+,31,6,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"38, 2646","38, 39, 40",,NA,0,0,1
2741,39,DGTS_DGTA 31:6 +4O,C41H67N1O11,750.478689,750.4769292,2.344919149,598.6821221,750.4703494,750.491451,596.9593279,601.3737966,4,0,526185.1861,0,810781.0148,0,0,721359.8106,823473.4106,0,0,10274,3,15071,749.4714125,IP_DAG,DGTS_DGTA,[M+H]+,31,6,4,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"39, 2647","38, 39, 40",,NA,0,0,1
2742,40,MGDG 32:7 +1O,C41H64O11,750.478689,750.4769292,2.344919149,598.6821221,750.4703494,750.491451,596.9593279,601.3737966,4,0,526185.1861,0,810781.0148,0,0,721359.8106,823473.4106,0,0,10274,3,52760,732.4448634,IP_DAG,MGDG,[M+NH4]+,32,7,1,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"40, 2648","38, 39, 40",,NA,0,0,NA
278,41,PE 35:6 +2O,C40H68N1O10P1,754.4653609,754.4655078,-0.194696714,591.7189757,754.4653366,754.465679,591.0548757,592.3830757,2,0,0,0,1996284.295,15494.91817,25808.73415,4804504.885,3456100.72,0,0,10426,3,22567,753.4580844,IP_DAG,PE,[M+H]+,35,6,2,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"41, 42, 43",,NA,0,0,1
2781,42,PG 34:7,C40H65O10P1,754.4653609,754.4655078,-0.194696714,591.7189757,754.4653366,754.465679,591.0548757,592.3830757,2,0,0,0,1996284.295,15494.91817,25808.73415,4804504.885,3456100.72,0,0,10426,3,29439,736.4315353,IP_DAG,PG,[M+NH4]+,34,7,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"41, 42, 43",,NA,0,1,NA
2782,43,PC 32:6 +2O,C40H68N1O10P1,754.4653609,754.4655078,-0.194696714,591.7189757,754.4653366,754.465679,591.0548757,592.3830757,2,0,0,0,1996284.295,15494.91817,25808.73415,4804504.885,3456100.72,0,0,10426,3,36387,753.4580844,IP_DAG,PC,[M+H]+,32,6,2,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"41, 42, 43",,NA,0,0,1
294,44,PE 37:7 +2O,C42H70N1O10P1,780.481011,780.4810067,0.005485937,609.0119289,780.4809554,780.4810979,608.2100193,614.2684472,3,0,0,0,524884.4379,148323.4125,1473038.692,8019442.788,6535444.297,0,0,11511,3,23092,779.4737345,IP_DAG,PE,[M+H]+,37,7,2,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"44, 45, 46",,NA,0,1,1
2941,45,PG 36:8,C42H67O10P1,780.481011,780.4810067,0.005485937,609.0119289,780.4809554,780.4810979,608.2100193,614.2684472,3,0,0,0,524884.4379,148323.4125,1473038.692,8019442.788,6535444.297,0,0,11511,3,30039,762.4471854,IP_DAG,PG,[M+NH4]+,36,8,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"44, 45, 46",,NA,0,1,1
2942,46,PC 34:7 +2O,C42H70N1O10P1,780.481011,780.4810067,0.005485937,609.0119289,780.4809554,780.4810979,608.2100193,614.2684472,3,0,0,0,524884.4379,148323.4125,1473038.692,8019442.788,6535444.297,0,0,11511,3,36862,779.4737345,IP_DAG,PC,[M+H]+,34,7,2,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"44, 45, 46",,NA,0,1,1
302,47,PE 39:7 +1O,C44H74N1O9P1,792.5173965,792.5173364,0.07582885,608.4397837,792.517126,792.517631,603.6567766,608.6727372,5,0,7797229.027,6764469.493,445428.7808,821497.0904,3281006.887,3221566.253,1024130.928,0,0,12046,3,23587,791.5101201,IP_DAG,PE,[M+H]+,39,7,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"47, 48",,NA,0,0,NA
3021,48,PC 36:7 +1O,C44H74N1O9P1,792.5173965,792.5173364,0.07582885,608.4397837,792.517126,792.517631,603.6567766,608.6727372,5,0,7797229.027,6764469.493,445428.7808,821497.0904,3281006.887,3221566.253,1024130.928,0,0,12046,3,37332,791.5101201,IP_DAG,PC,[M+H]+,36,7,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"47, 48",,NA,0,0,NA
306,49,PE 40:10 +1O,C45H70N1O9P1,800.4860964,800.4864567,-0.45017315,596.9593279,800.4863043,800.4934445,596.8857187,597.7864341,3,0,0,0,8766389.968,0,0,2368609.477,1419473.781,0,0,12397,3,23887,799.4788199,IP_DAG,PE,[M+H]+,40,10,1,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"49, 4711",,,0,1,0,NA
314,50,PG 38:10,C44H67O10P1,804.481011,804.4810445,-0.041661658,603.6567766,804.4792435,804.4810632,601.3549994,604.4742063,3,0,0,51134.0483,3111918.379,0,475828.3489,23573274.98,18969029.72,0,0,12579,3,30699,786.4471854,IP_DAG,PG,[M+NH4]+,38,10,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"50, 2373","50, 51",,NA,0,1,NA
3141,51,PC 36:9 +2O,C44H70N1O10P1,804.481011,804.4810445,-0.041661658,603.6567766,804.4792435,804.4810632,601.3549994,604.4742063,3,0,0,51134.0483,3111918.379,0,475828.3489,23573274.98,18969029.72,0,0,12579,3,37387,803.4737345,IP_DAG,PC,[M+H]+,36,9,2,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"51, 2374","50, 51",,NA,0,0,1
320,52,PC 38:9 +1O,C46H74N1O9P1,816.5173965,816.5179017,-0.618672787,592.7726771,816.5175975,816.5180844,592.3830757,593.8641803,7,0,4037817.165,3805738.847,15865761.13,13310423.77,37581859.96,28311564.15,11780448.14,0,0,13186,3,37882,815.5101201,IP_DAG,PC,[M+H]+,38,9,1,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"52, 2381",,,NA,0,0,NA
322,53,PE 41:8 +1O,C46H76N1O9P1,818.5330466,818.5330259,0.02533726,597.211331,818.5233775,818.5331922,590.2993792,599.5269967,4,0,25729673.2,24724636.42,780440.4237,42227748.81,75831737.49,0,0,0,0,13296,3,24137,817.5257701,IP_DAG,PE,[M+H]+,41,8,1,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"53, 95, 4650","53, 54",,0,4,0,1
3221,54,PC 38:8 +1O,C46H76N1O9P1,818.5330466,818.5330259,0.02533726,597.211331,818.5233775,818.5331922,590.2993792,599.5269967,4,0,25729673.2,24724636.42,780440.4237,42227748.81,75831737.49,0,0,0,0,13296,3,37857,817.5257701,IP_DAG,PC,[M+H]+,38,8,1,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"54, 96, 4651","53, 54",,4,4,0,0
325,55,DGDG 24:2 +2O,C39H68O17,826.4794769,826.4778321,1.990064903,604.6125476,826.4775042,826.4791427,602.2272937,612.3942559,6,0,1228067.71,851194.4909,7426437.697,862444.7791,2910220.9,511075.5925,584619.563,0,0,13681,3,7162,808.4456513,IP_DAG,DGDG,[M+NH4]+,24,2,2,1,0,0,0,1,0,0,0,0,0,0,C1; C3c,,,"55, 56",NA,0,0,1
3251,56,SQDG 34:7,C43H68O12S1,826.4769744,826.4778321,-1.037732722,604.6125476,826.4775042,826.4791427,602.2272937,612.3942559,6,0,1228067.71,851194.4909,7426437.697,862444.7791,2910220.9,511075.5925,584619.563,0,0,13681,3,45789,808.4431489,IP_DAG,SQDG,[M+NH4]+,34,7,0,1,0,0,0,1,0,1,0,0,0,0,C1; C3c; C3r,"56, 5595",,"55, 56",NA,0,1,NA
340,57,DGDG 28:5 +1O,C43H70O16,860.5002123,860.499582,0.732477077,621.2198352,860.4995578,860.4996062,617.4050276,625.0346428,2,0,0,18086.60838,156535.3717,0,18683.71207,1198218.325,756451.1425,0,0,15530,3,7832,842.4663867,IP_DAG,DGDG,[M+NH4]+,28,5,1,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,0,0,1
393,58,SQDG 39:6 +3O,C48H80O15S1,946.5556188,946.5548077,0.856841113,610.1956242,946.5516997,946.5554859,605.9308448,615.4264001,5,0,0,0,12484572.86,829956.0884,2024527.962,1909519.504,1216321.779,0,0,20012,3,47277,928.5217932,IP_DAG,SQDG,[M+NH4]+,39,6,3,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,0,1,NA
