"PAL1314_LMG1401_particulate_pos_withoddFA.csv, lipids identified in particulate (0.2 um) samples from Arthur Harbor and along PAL-LTER cruise grid, 2014-2014 (PAL1314 and LMG1401)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Identifications were made by J. Collins, james.r.collins@aya.yale.edu, using v1.1.1 of the LOBSTAHS lipidomics software package for R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in columns 13-17 of this speadsheet are raw chromatographic peak areas; the .xlsx file PAL1314_LMG1401_particulate_IP-DAG_pmol_mL.xlsx contains mass data for unoxidized IP-DAG obtained using authentic standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,match_ID,compound_name,elem_formula,LOBdbase_mz,peakgroup_mz,LOBdbase_ppm_match,peakgroup_rt,peakgroup_mzmin,peakgroup_mzmax,peakgroup_rtmin,peakgroup_rtmax,samples,LMG1401_004_QE003116,LMG1401_008_QE003117,LMG1401_009_QE003118,LMG1401_010_QE003119,PAL1314_Stn_E_3m_2Jan14_0.2um_QE003120,xcms_peakgroup,CAMERA_pseudospectrum,LOBdbase_frag_ID,LOBdbase_exact_parent_neutral_mass,lipid_class,species,major_adduct,FA_total_no_C,FA_total_no_DB,degree_oxidation,C1,C1x,C2a,C2b,C3c,C3f,C3r,C4,C5,C6a,C6b,casecodes,iso_C3r.match_ID,iso_C3f.match_ID,iso_C3c.match_ID,ms2_conf,ms2_present,neg_mode.conf,rm.flag_auto
4,42,TAG 49:4,C52H92O6,830.723217,830.7238648,-0.779839806,1180.85535,830.7238077,830.7239363,1179.300905,1183.600922,5,111582943.6,57051546.52,66657227.43,64176065.07,117892723.1,15522,3,63895,812.6893914,TAG,TAG,[M+NH4]+,49,4,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
84,43,TAG 70:14 +2O,C73H114O8,1136.885197,1136.885929,-0.643497479,1177.058003,1136.884699,1136.886158,1174.088253,1183.600922,5,16744290.48,13807443.26,18028963.52,14616855.6,26959201.78,23851,3,75704,1118.851372,TAG,TAG,[M+NH4]+,70,14,2,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
347,44,TAG 63:8 +3O,C66H112O9,1066.864462,1066.864263,0.18573744,1182.161511,1066.863734,1066.864793,1181.245892,1183.077131,2,748935.7195,126809.2663,1289980.749,2351094.665,221331.4836,22911,3,71581,1048.830636,TAG,TAG,[M+NH4]+,63,8,3,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
43,45,TAG 43:1,C46H86O6,752.6762668,752.6767292,-0.614357066,1176.210622,752.6761472,752.6769618,1174.088253,1179.151668,5,17270787.39,11835044.67,15294286.29,16363719.3,7729470.54,12474,3,61200,734.6424412,TAG,TAG,[M+NH4]+,43,1,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
526,46,TAG 45:2,C48H88O6,778.6919168,778.6924745,-0.716195975,1178.609244,778.6924479,778.6929472,1174.055233,1181.532941,5,35389232.26,33938143.13,42864607.93,39472722.06,18418425.56,13445,3,62040,760.6580912,TAG,TAG,[M+NH4]+,45,2,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
561,47,DGTS_DGTA 45:2,C55H103N1O7,890.7807319,890.7810289,-0.333383306,1176.363699,890.7806748,890.7813347,1174.055233,1185.730582,5,30680626.59,5743801.724,6716845.855,4377687.818,8583791.509,17835,3,18451,889.7734555,IP_DAG,DGTS_DGTA,[M+H]+,45,2,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"41, 47",,NA,0,0,NA
71,48,DGCC 46:2 +1O,C56H105N1O9,936.7862113,936.784823,1.481974112,1181.532941,936.7845013,936.7848933,1179.151668,1183.077131,5,142851437.4,33591214.23,37740055.08,40749357.75,51005664.48,19650,3,5481,935.7789348,IP_DAG,DGCC,[M+H]+,46,2,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"48, 49, 50",,NA,0,0,NA
711,49,DGTS_DGTA 46:2 +2O,C56H105N1O9,936.7862113,936.784823,1.481974112,1181.532941,936.7845013,936.7848933,1179.151668,1183.077131,5,142851437.4,33591214.23,37740055.08,40749357.75,51005664.48,19650,3,18686,935.7789348,IP_DAG,DGTS_DGTA,[M+H]+,46,2,2,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"48, 49, 50",,NA,0,0,NA
712,50,TAG 53:3 +3O,C56H102O9,936.7862113,936.784823,1.481974112,1181.532941,936.7845013,936.7848933,1179.151668,1183.077131,5,142851437.4,33591214.23,37740055.08,40749357.75,51005664.48,19650,3,65841,918.7523857,TAG,TAG,[M+NH4]+,53,3,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"48, 49, 50",,NA,NA,0,1
82,51,PC 52:4 +1O,C60H112N1O9P1,1022.814748,1022.81722,-2.416737014,1175.588905,1022.816377,1022.817369,1174.055233,1176.742697,4,11538303.04,12897834.27,17813013.37,20596697.48,5817965.84,22098,3,40907,1021.807472,IP_DAG,PC,[M+H]+,52,4,1,1,0,0,0,1,0,0,0,0,0,0,C1; C3c,,,"51, 52",NA,0,0,NA
821,52,TAG 64:13,C67H104O6,1022.817117,1022.81722,-0.100158922,1175.588905,1022.816377,1022.817369,1174.055233,1176.742697,4,11538303.04,12897834.27,17813013.37,20596697.48,5817965.84,22098,3,72260,1004.783292,TAG,TAG,[M+NH4]+,64,13,0,1,0,0,0,1,0,0,0,0,0,0,C1; C3c,,,"51, 52",NA,NA,0,1
1106,53,TAG 50:1,C53H100O6,850.7858173,850.7864337,-0.724472759,1323.596351,850.786422,850.7866454,1321.476577,1324.336817,5,6004343057,575400497.6,408227377.2,465050144.2,467961062.1,16294,4,64245,832.7519917,TAG,TAG,[M+NH4]+,50,1,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
28,54,TAG 52:2,C55H102O6,876.8014674,876.8019418,-0.54111552,1321.65211,876.8017834,876.8019723,1321.370536,1323.080101,5,12719533510,728942157.1,655197762.2,677103136.8,1036863751,17255,4,65260,858.7676418,TAG,TAG,[M+NH4]+,52,2,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
46,55,TAG 54:3,C57H104O6,902.8171175,902.8175594,-0.489528725,1321.65211,902.8168856,902.8175745,1321.370536,1323.080101,5,3135089705,265758972.3,439313879.2,288250943.3,352038555.3,18306,4,66345,884.7832919,TAG,TAG,[M+NH4]+,54,3,0,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
10,56,TAG 48:0,C51H98O6,824.7701672,824.7709094,-0.899861788,1324.336817,824.7708745,824.7715809,1323.728819,1325.774355,5,59022424.97,47106192.36,63751291.81,63566195.66,40356703,15291,4,63300,806.7363416,TAG,TAG,[M+NH4]+,48,0,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
73,57,PE 50:2 +3O,C55H106N1O11P1,988.757627,988.7563059,1.336141216,1323.080101,988.7559275,988.7569078,1321.65211,1323.728819,5,15725713.57,2414585.87,1408509.25,1676139.83,3197474.539,21337,4,26097,987.7503506,IP_DAG,PE,[M+H]+,50,2,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"57, 58, 59",,NA,0,0,NA
731,58,PG 49:3 +1O,C55H103O11P1,988.757627,988.7563059,1.336141216,1323.080101,988.7559275,988.7569078,1321.65211,1323.728819,5,15725713.57,2414585.87,1408509.25,1676139.83,3197474.539,21337,4,33825,970.7238015,IP_DAG,PG,[M+NH4]+,49,3,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"57, 58, 59",,NA,0,0,NA
732,59,PC 47:2 +3O,C55H106N1O11P1,988.757627,988.7563059,1.336141216,1323.080101,988.7559275,988.7569078,1321.65211,1323.728819,5,15725713.57,2414585.87,1408509.25,1676139.83,3197474.539,21337,4,40042,987.7503506,IP_DAG,PC,[M+H]+,47,2,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"57, 58, 59",,NA,0,0,NA
86,60,TAG 56:4,C59H106O6,928.8327676,928.833019,-0.270764337,1321.370536,928.8328528,928.8332002,1319.24324,1322.100068,5,34291742.61,16202010.17,28603534.67,17883968.36,13647264.9,19333,4,67465,910.798942,TAG,TAG,[M+NH4]+,56,4,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
96,61,PE 48:1 +3O,C53H104N1O11P1,962.741977,962.7401166,1.932346986,1324.336817,962.7394965,962.7409042,1323.596351,1325.937451,5,6603263.439,2177018.374,879436.467,1225979.03,1376939.007,20571,4,25722,961.7347005,IP_DAG,PE,[M+H]+,48,1,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"61, 62, 63",,NA,0,0,NA
961,62,PG 47:2 +1O,C53H101O11P1,962.741977,962.7401166,1.932346986,1324.336817,962.7394965,962.7409042,1323.596351,1325.937451,5,6603263.439,2177018.374,879436.467,1225979.03,1376939.007,20571,4,33255,944.7081514,IP_DAG,PG,[M+NH4]+,47,2,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"61, 62, 63",,NA,0,0,NA
962,63,PC 45:1 +3O,C53H104N1O11P1,962.741977,962.7401166,1.932346986,1324.336817,962.7394965,962.7409042,1323.596351,1325.937451,5,6603263.439,2177018.374,879436.467,1225979.03,1376939.007,20571,4,39567,961.7347005,IP_DAG,PC,[M+H]+,45,1,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"61, 62, 63",,NA,0,0,NA
1163,64,TAG 64:6 +2O,C67H118O8,1068.916497,1068.916874,-0.352485965,1322.62423,1068.91646,1068.917401,1318.674148,1328.765595,4,197846085.2,27631065.32,40130687.45,29938398.95,9016666.776,22949,4,72029,1050.882672,TAG,TAG,[M+NH4]+,64,6,2,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"64, 1461",,,NA,NA,0,1
1107,65,TAG 52:7,C55H92O6,866.723217,866.7234598,-0.280092319,1152.255672,866.7233749,866.7236508,1151.732331,1152.483416,5,7613669920,1997860595,2588143055,2538483976,1612504869,16890,5,65435,848.6893914,TAG,TAG,[M+NH4]+,52,7,0,0,0,0,1,0,0,1,0,0,0,0,C2b; C3r,"65, 250",,,NA,NA,0,1
39,66,TAG 60:12,C63H98O6,968.7701672,968.7704407,-0.282246535,1152.394134,968.7704138,968.7704925,1152.132823,1154.705776,5,642981020.6,353306458,496939667,565672013.7,184024344.4,20787,5,69950,950.7363416,TAG,TAG,[M+NH4]+,60,12,0,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
80,67,TAG 42:1,C45H84O6,738.6606167,738.6612562,-0.865779919,1161.072081,738.6611496,738.6612876,1160.639204,1161.390283,5,43853558.68,20184371.69,30651343.52,28342948.53,11543745.05,11943,5,60815,720.6267911,TAG,TAG,[M+NH4]+,42,1,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
